main_category,sub_category,sub_type,used,updated_date,Column1
Food and Drink,restaurant,brunch_restaurant,TRUE,2024-01-01,brunch_restaurant
Food and Drink,restaurant,buffet_restaurant *,TRUE,2024-11-07,buffet_restaurant
Food and Drink,snack,cafe,TRUE,2024-01-01,cafe
Food and Drink,restaurant,cafeteria *,FALSE,2024-11-07,cafeteria
Food and Drink,snack,candy_store *,TRUE,2024-11-07,candy_store
Food and Drink,snack,cat_cafe *,TRUE,2024-11-07,cat_cafe
Food and Drink,restaurant,chinese_restaurant,TRUE,2024-01-01,chinese_restaurant
Food and Drink,snack,chocolate_factory *,TRUE,2024-11-07,chocolate_factory
Food and Drink,snack,chocolate_shop *,TRUE,2024-11-07,chocolate_shop
Food and Drink,snack,coffee_shop,TRUE,2024-01-01,coffee_shop
Food and Drink,snack,confectionery *,TRUE,2024-11-07,confectionery
Food and Drink,restaurant,deli *,TRUE,2024-11-07,deli
Food and Drink,restaurant,dessert_restaurant *,TRUE,2024-11-07,dessert_restaurant
Food and Drink,snack,dessert_shop *,TRUE,2024-11-07,dessert_shop
Food and Drink,restaurant,diner *,TRUE,2024-11-07,diner
Food and Drink,snack,dog_cafe *,TRUE,2024-11-07,dog_cafe
Food and Drink,snack,donut_shop *,TRUE,2024-11-07,donut_shop
Food and Drink,restaurant,fast_food_restaurant,TRUE,2024-01-01,fast_food_restaurant
Food and Drink,restaurant,fine_dining_restaurant *,TRUE,2024-11-07,fine_dining_restaurant
Food and Drink,restaurant,food_court *,TRUE,2024-11-07,food_court
Food and Drink,restaurant,french_restaurant,TRUE,2024-01-01,french_restaurant
Food and Drink,restaurant,greek_restaurant,TRUE,2024-01-01,greek_restaurant
Food and Drink,restaurant,hamburger_restaurant,TRUE,2024-01-01,hamburger_restaurant
Food and Drink,snack,ice_cream_shop,TRUE,2024-01-01,ice_cream_shop
Food and Drink,restaurant,indian_restaurant,TRUE,2024-01-01,indian_restaurant
Food and Drink,restaurant,indonesian_restaurant,TRUE,2024-01-01,indonesian_restaurant
Food and Drink,restaurant,italian_restaurant,TRUE,2024-01-01,italian_restaurant
Food and Drink,restaurant,japanese_restaurant,TRUE,2024-01-01,japanese_restaurant
Food and Drink,snack,juice_shop *,TRUE,2024-11-07,juice_shop
Food and Drink,restaurant,korean_restaurant *,TRUE,2024-11-07,korean_restaurant
Food and Drink,restaurant,lebanese_restaurant,TRUE,2024-01-01,lebanese_restaurant
Food and Drink,,meal_delivery,FALSE,2024-01-01,meal_delivery
Food and Drink,,meal_takeaway,TRUE,2024-01-01,meal_takeaway
Food and Drink,restaurant,mediterranean_restaurant,TRUE,2024-01-01,mediterranean_restaurant
Food and Drink,restaurant,mexican_restaurant,TRUE,2024-01-01,mexican_restaurant
Food and Drink,restaurant,middle_eastern_restaurant,TRUE,2024-01-01,middle_eastern_restaurant
Food and Drink,restaurant,pizza_restaurant,TRUE,2024-01-01,pizza_restaurant
Food and Drink,night meal,pub *,TRUE,2024-11-07,pub
Food and Drink,restaurant,ramen_restaurant,TRUE,2024-01-01,ramen_restaurant
Food and Drink,restaurant,restaurant,TRUE,2024-01-01,restaurant
Food and Drink,snack,sandwich_shop,TRUE,2024-01-01,sandwich_shop
Food and Drink,restaurant,seafood_restaurant,TRUE,2024-01-01,seafood_restaurant
Food and Drink,restaurant,spanish_restaurant,TRUE,2024-01-01,spanish_restaurant
Food and Drink,restaurant,steak_house,TRUE,2024-01-01,steak_house
Food and Drink,restaurant,sushi_restaurant,TRUE,2024-01-01,sushi_restaurant
Food and Drink,snack,tea_house *,TRUE,2024-11-07,tea_house
Food and Drink,restaurant,thai_restaurant,TRUE,2024-01-01,thai_restaurant
Food and Drink,restaurant,turkish_restaurant,TRUE,2024-01-01,turkish_restaurant
Food and Drink,restaurant,vegan_restaurant,TRUE,2024-01-01,vegan_restaurant
Food and Drink,restaurant,vegetarian_restaurant,TRUE,2024-01-01,vegetarian_restaurant
Food and Drink,restaurant,vietnamese_restaurant,TRUE,2024-01-01,vietnamese_restaurant
Food and Drink,night meal,wine_bar *,TRUE,2024-11-07,wine_bar
Geographical Areas,,administrative_area_level_1,FALSE,2024-01-01,administrative_area_level_1
Geographical Areas,,administrative_area_level_2,FALSE,2024-01-01,administrative_area_level_2
Geographical Areas,,country,FALSE,2024-01-01,country
Geographical Areas,,locality,FALSE,2024-01-01,locality
Geographical Areas,,postal_code,FALSE,2024-01-01,postal_code
Geographical Areas,,school_district,FALSE,2024-01-01,school_district
Government,,city_hall,FALSE,2024-01-01,city_hall
Government,,courthouse,FALSE,2024-01-01,courthouse
Government,,embassy,FALSE,2024-01-01,embassy
Government,,fire_station,FALSE,2024-01-01,fire_station
Government,,government_office *,FALSE,2024-11-07,government_office
Government,,local_government_office,FALSE,2024-01-01,local_government_office
Government,,neighborhood_police_station (Japan only),FALSE,2024-01-01,neighborhood_police_station (Japan only)
Government,,police,FALSE,2024-01-01,police
Government,,post_office,FALSE,2024-01-01,post_office
